cand_name,cid,cycle,state,party,chamber,first_elected,next_election,total,spent,cash_on_hand,debt,origin,source,last_updated
"Cornyn, John",N00024852,2022,TX,R,S,2002,2026,35160353.87,36461113.41,1595880.95,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00024852&cycle=2022,12/31/2022
"Harris, Andy",N00029147,2022,MD,R,H,2010,2022,1910284.1,2140307.11,813156.06,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00029147&cycle=2022,12/31/2022
"Perez, Marie Gluesenkamp",N00050490,2022,,D,,,2022,3894905.34,3828592.21,66313.13,13000,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00050490&cycle=2022,12/31/2022
"Markey, Ed",N00000270,2022,MA,D,S,2013,2026,14505160.07,14974885.34,1565133.38,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00000270&cycle=2022,12/31/2022
"Edwards, Chuck",N00049670,2022,,R,,,2022,1561100.86,1463207.99,97892.87,325500,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00049670&cycle=2022,12/31/2022
"Budzinski, Nikki",N00049102,2022,,D,,,2022,3889401.94,3847659.68,41742.26,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00049102&cycle=2022,12/31/2022
"Rodgers, Cathy McMorris",N00026314,2022,WA,R,H,2004,2022,6360246.73,6324104.12,1111692.76,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00026314&cycle=2022,12/31/2022
"Torres, Norma",N00036107,2022,CA,D,H,2014,2022,777957.29,637363.66,348247.15,3413.2,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00036107&cycle=2022,12/31/2022
"Salinas, Andrea",N00049738,2022,,D,,,2022,3365487.54,3359203.04,6284.5,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00049738&cycle=2022,12/31/2022
"Kim, Andy",N00041370,2022,NJ,D,H,2018,2022,7018927.53,7408229.5,162532.59,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00041370&cycle=2022,12/31/2022
