org_name,total,pacs,indivs,cycle,source,cid
National Assn of Realtors,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00029662&cycle=2022,N00029662
Hallmark Cards,13700,5000,8700,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00026790&cycle=2022,N00026790
Rocket Companies,13000,0,13000,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00026790&cycle=2022,N00026790
Rocket Mortgage,12700,0,12700,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00026790&cycle=2022,N00026790
Edp Enterprises,11600,0,11600,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00026790&cycle=2022,N00026790
American Council of Life Insurers,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00026790&cycle=2022,N00026790
American Federation of State/Cnty/Munic Employees,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00026790&cycle=2022,N00026790
American Israel Public Affairs Cmte,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00026790&cycle=2022,N00026790
Blackrock Funds Services Group,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00026790&cycle=2022,N00026790
Carpenters & Joiners Union,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00026790&cycle=2022,N00026790
Centene Corp,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00026790&cycle=2022,N00026790
American Israel Public Affairs Cmte,89000,0,89000,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00033410&cycle=2022,N00033410
Hilliary Communications,59850,0,59850,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00033410&cycle=2022,N00033410
National Republican Senatorial Cmte,50000,50000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00033410&cycle=2022,N00033410
Magnum Drilling Services,26100,0,26100,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00033410&cycle=2022,N00033410
Alliance Coal,22900,5500,17400,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00033410&cycle=2022,N00033410
Devon Energy,22400,5000,17400,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00033410&cycle=2022,N00033410
Firstbank,19650,0,19650,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00033410&cycle=2022,N00033410
Nordam,18900,0,18900,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00033410&cycle=2022,N00033410
Continental Resources,18610,5000,13610,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00033410&cycle=2022,N00033410
Miller Strategies,17600,0,17600,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00033410&cycle=2022,N00033410
DISH Network,15000,3400,11600,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00027459&cycle=2022,N00027459
Democracy Engine,13800,0,13800,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00027459&cycle=2022,N00027459
"Kelley, Drye & Warren",11400,5000,6400,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00027459&cycle=2022,N00027459
Intel Corp,11000,10000,1000,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00027459&cycle=2022,N00027459
Amazon.com,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00027459&cycle=2022,N00027459
American Crystal Sugar,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00027459&cycle=2022,N00027459
American Federation of State/Cnty/Munic Employees,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00027459&cycle=2022,N00027459
American Hospital Assn,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00027459&cycle=2022,N00027459
AT&T Inc,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00027459&cycle=2022,N00027459
Charter Communications,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00027459&cycle=2022,N00027459
Microsoft Corp,10285,7500,2785,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00003288&cycle=2022,N00003288
AFLAC Inc,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00003288&cycle=2022,N00003288
Air Line Pilots Assn,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00003288&cycle=2022,N00003288
Altria Group,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00003288&cycle=2022,N00003288
American Crystal Sugar,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00003288&cycle=2022,N00003288
American Federation of Government Employees,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00003288&cycle=2022,N00003288
American Federation of State/Cnty/Munic Employees,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00003288&cycle=2022,N00003288
American Waterways Operators,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00003288&cycle=2022,N00003288
AT&T Inc,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00003288&cycle=2022,N00003288
Credit Union National Assn,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00003288&cycle=2022,N00003288
DISH Network,34900,10000,24900,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00000781&cycle=2022,N00000781
Leon Medical Centers,23200,0,23200,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00000781&cycle=2022,N00000781
Verizon Communications,22700,10000,12700,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00000781&cycle=2022,N00000781
Saker Shoprites,20100,0,20100,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00000781&cycle=2022,N00000781
Capitol Counsel,17300,0,17300,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00000781&cycle=2022,N00000781
